opened_at,closed_at,symbol,strategy,quantity,entry_price,exit_price,stop_price,gross_pnl,entry_cost,exit_cost,net_pnl,pnl_pct,r_multiple,gross_r_multiple,regime_at_entry,regime_probability,exposure_scalar,exit_reason,holding_days,entry_slippage,mae_r,mfe_r,risk_per_share,reference_price,worst_price,best_price,market,currency
2026-08-01T01:12:22+10:00,2026-08-05T13:33:06+00:00,CVS,swing,47,105.475,95.5972,99.3554,-464.26,9.08,8.85,-482.18,-0.097266,-1.6764,-1.6141,,,,stop,4.931,,-1.945,0,6.1196,,93.57,105.475,,
2026-08-10T13:35:16+00:00,2026-08-11T13:33:54+00:00,MNST,,8,91.1838,45.9975,,-361.49,6.96,6.78,-375.24,-0.514399,,,,,,stop,0.999,,,,,,91.1838,91.1838,,
